make,num-of-doors,body-style,engine-location,num-of-cylinders,horsepower,price
alfa-romero,two,convertible,front,four,111,13495
alfa-romero,two,convertible,front,four,111,16500
alfa-romero,two,hatchback,front,six,154,16500
audi,four,sedan,front,four,102,13950
audi,four,sedan,front,five,115,17450
audi,two,sedan,front,five,110,15250
audi,four,sedan,front,five,110,17710
audi,four,wagon,front,five,110,18920
audi,four,sedan,front,five,140,23875
audi,two,hatchback,front,five,160,
bmw,two,sedan,front,four,101,16430
bmw,four,sedan,front,four,101,16925
bmw,two,sedan,front,six,121,20970
bmw,four,sedan,front,six,121,21105
bmw,four,sedan,front,six,121,24565
bmw,four,sedan,front,six,182,30760
bmw,two,sedan,front,six,182,41315
bmw,four,sedan,front,six,182,36880
chevrolet,two,hatchback,front,three,48,5151
chevrolet,two,hatchback,front,four,70,6295
chevrolet,four,sedan,front,four,70,6575
dodge,two,hatchback,front,four,68,5572
dodge,two,hatchback,front,four,68,6377
dodge,two,hatchback,front,four,102,7957
dodge,four,hatchback,front,four,68,6229
dodge,four,sedan,front,four,68,6692
dodge,four,sedan,front,four,68,7609
dodge,,sedan,front,four,102,8558
dodge,four,wagon,front,four,88,8921
dodge,two,hatchback,front,four,145,12964
honda,two,hatchback,front,four,58,6479
honda,two,hatchback,front,four,76,6855
honda,two,hatchback,front,four,60,5399
honda,two,hatchback,front,four,76,6529
honda,two,hatchback,front,four,76,7129
honda,four,sedan,front,four,76,7295
honda,four,wagon,front,four,76,7295
honda,two,hatchback,front,four,86,7895
honda,two,hatchback,front,four,86,9095
honda,four,sedan,front,four,86,8845
honda,four,sedan,front,four,86,10295
honda,four,sedan,front,four,101,12945
honda,two,sedan,front,four,100,10345
isuzu,four,sedan,front,four,78,6785
isuzu,two,sedan,front,four,70,
isuzu,four,sedan,front,four,70,
isuzu,two,hatchback,front,four,90,11048
jaguar,four,sedan,front,six,176,32250
jaguar,four,sedan,front,six,176,35550
jaguar,two,sedan,front,twelve,262,36000
mazda,two,hatchback,front,four,68,5195
mazda,two,hatchback,front,four,68,6095
mazda,two,hatchback,front,four,68,6795
mazda,four,sedan,front,four,68,6695
mazda,four,sedan,front,four,68,7395
mazda,two,hatchback,front,two,101,10945
mazda,two,hatchback,front,two,101,11845
mazda,two,hatchback,front,two,101,13645
mazda,two,hatchback,front,two,135,15645
mazda,two,hatchback,front,four,84,8845
mazda,four,sedan,front,four,84,8495
mazda,two,hatchback,front,four,84,10595
mazda,four,sedan,front,four,84,10245
mazda,,sedan,front,four,64,10795
mazda,four,hatchback,front,four,84,11245
mazda,four,sedan,front,four,120,18280
mazda,four,sedan,front,four,72,18344
mercedes-benz,four,sedan,front,five,123,25552
mercedes-benz,four,wagon,front,five,123,28248
mercedes-benz,two,hardtop,front,five,123,28176
mercedes-benz,four,sedan,front,five,123,31600
mercedes-benz,four,sedan,front,eight,155,34184
mercedes-benz,two,convertible,front,eight,155,35056
mercedes-benz,four,sedan,front,eight,184,40960
mercedes-benz,two,hardtop,front,eight,184,45400
mercury,two,hatchback,front,four,175,16503
mitsubishi,two,hatchback,front,four,68,5389
mitsubishi,two,hatchback,front,four,68,6189
mitsubishi,two,hatchback,front,four,68,6669
mitsubishi,two,hatchback,front,four,102,7689
mitsubishi,two,hatchback,front,four,116,9959
mitsubishi,two,hatchback,front,four,88,8499
mitsubishi,two,hatchback,front,four,145,12629
mitsubishi,two,hatchback,front,four,145,14869
mitsubishi,two,hatchback,front,four,145,14489
mitsubishi,four,sedan,front,four,88,6989
mitsubishi,four,sedan,front,four,88,8189
mitsubishi,four,sedan,front,four,116,9279
mitsubishi,four,sedan,front,four,116,9279
nissan,two,sedan,front,four,69,5499
nissan,two,sedan,front,four,55,7099
nissan,two,sedan,front,four,69,6649
nissan,four,sedan,front,four,69,6849
nissan,four,wagon,front,four,69,7349
nissan,two,sedan,front,four,69,7299
nissan,two,hatchback,front,four,69,7799
nissan,four,sedan,front,four,69,7499
nissan,four,wagon,front,four,69,7999
nissan,two,hardtop,front,four,69,8249
nissan,four,hatchback,front,four,97,8949
nissan,four,sedan,front,four,97,9549
nissan,four,sedan,front,six,152,13499
nissan,four,wagon,front,six,152,14399
nissan,four,sedan,front,six,152,13499
nissan,two,hatchback,front,six,160,17199
nissan,two,hatchback,front,six,200,19699
nissan,two,hatchback,front,six,160,18399
peugot,four,sedan,front,four,97,11900
peugot,four,sedan,front,four,95,13200
peugot,four,wagon,front,four,97,12440
peugot,four,wagon,front,four,95,13860
peugot,four,sedan,front,four,95,15580
peugot,four,sedan,front,four,95,16900
peugot,four,wagon,front,four,95,16695
peugot,four,wagon,front,four,95,17075
peugot,four,sedan,front,four,97,16630
peugot,four,sedan,front,four,95,17950
peugot,four,sedan,front,four,142,18150
plymouth,two,hatchback,front,four,68,5572
plymouth,two,hatchback,front,four,102,7957
plymouth,four,hatchback,front,four,68,6229
plymouth,four,sedan,front,four,68,6692
plymouth,four,sedan,front,four,68,7609
plymouth,four,wagon,front,four,88,8921
plymouth,two,hatchback,front,four,145,12764
porsche,two,hatchback,front,four,143,22018
porsche,two,hardtop,rear,six,207,32528
porsche,two,hardtop,rear,six,207,34028
porsche,two,convertible,rear,six,207,37028
porsche,two,hatchback,front,eight,288,
renault,four,wagon,front,four,,9295
renault,two,hatchback,front,four,,9895
saab,two,hatchback,front,four,110,11850
saab,four,sedan,front,four,110,12170
saab,two,hatchback,front,four,110,15040
saab,four,sedan,front,four,110,15510
saab,two,hatchback,front,four,160,18150
saab,four,sedan,front,four,160,18620
subaru,two,hatchback,front,four,69,5118
subaru,two,hatchback,front,four,73,7053
subaru,two,hatchback,front,four,73,7603
subaru,four,sedan,front,four,82,7126
subaru,four,sedan,front,four,82,7775
subaru,four,sedan,front,four,94,9960
subaru,four,sedan,front,four,82,9233
subaru,four,sedan,front,four,111,11259
subaru,four,wagon,front,four,82,7463
subaru,four,wagon,front,four,94,10198
subaru,four,wagon,front,four,82,8013
subaru,four,wagon,front,four,111,11694
toyota,two,hatchback,front,four,62,5348
toyota,two,hatchback,front,four,62,6338
toyota,four,hatchback,front,four,62,6488
toyota,four,wagon,front,four,62,6918
toyota,four,wagon,front,four,62,7898
toyota,four,wagon,front,four,62,8778
toyota,four,sedan,front,four,70,6938
toyota,four,hatchback,front,four,70,7198
toyota,four,sedan,front,four,56,7898
toyota,four,hatchback,front,four,56,7788
toyota,four,sedan,front,four,70,7738
toyota,four,hatchback,front,four,70,8358
toyota,four,sedan,front,four,70,9258
toyota,two,sedan,front,four,70,8058
toyota,two,hatchback,front,four,70,8238
toyota,two,sedan,front,four,112,9298
toyota,two,hatchback,front,four,112,9538
toyota,two,hardtop,front,four,116,8449
toyota,two,hardtop,front,four,116,9639
toyota,two,hatchback,front,four,116,9989
toyota,two,hardtop,front,four,116,11199
toyota,two,hatchback,front,four,116,11549
toyota,two,convertible,front,four,116,17669
toyota,four,sedan,front,four,92,8948
toyota,four,sedan,front,four,73,10698
toyota,four,hatchback,front,four,92,9988
toyota,four,sedan,front,four,92,10898
toyota,four,hatchback,front,four,92,11248
toyota,two,hatchback,front,six,161,16558
toyota,two,hatchback,front,six,161,15998
toyota,four,sedan,front,six,156,15690
toyota,four,wagon,front,six,156,15750
volkswagen,two,sedan,front,four,52,7775
volkswagen,two,sedan,front,four,85,7975
volkswagen,four,sedan,front,four,52,7995
volkswagen,four,sedan,front,four,85,8195
volkswagen,four,sedan,front,four,85,8495
volkswagen,four,sedan,front,four,68,9495
volkswagen,four,sedan,front,four,100,9995
volkswagen,two,convertible,front,four,90,11595
volkswagen,two,hatchback,front,four,90,9980
volkswagen,four,sedan,front,five,110,13295
volkswagen,four,sedan,front,four,68,13845
volkswagen,four,wagon,front,four,88,12290
volvo,four,sedan,front,four,114,12940
volvo,four,wagon,front,four,114,13415
volvo,four,sedan,front,four,114,15985
volvo,four,wagon,front,four,114,16515
volvo,four,sedan,front,four,162,18420
volvo,four,wagon,front,four,162,18950
volvo,four,sedan,front,four,114,16845
volvo,four,sedan,front,four,160,19045
volvo,four,sedan,front,six,134,21485
volvo,four,sedan,front,six,106,22470
volvo,four,sedan,front,four,114,22625
